race_id,horse_number,age,dhweight,disRoc,enterTimes,preOOF,pre2OOF,surface,weather,course,jEps,runningStyle,preLastPhase,distance,sex,popularity,odds,weight,eps,jwinper,owinper,twinper,winRun,order_of_finish
4,2,5.0,4.0,0.111111111111111,2.0,5.0,14.0,芝,晴,左,137,-7.5,36.2,2000,牝,1,3.5,498,75.0,0.07,0.07,0.07,0.0,1
4,3,4.0,-4.0,0.0,1.0,3.0,,芝,晴,左,137,3.66666666666667,33.6,2000,牡,3,5.1,456,382.5,0.07,0.07,0.07,0.0,5
4,4,5.0,-4.0,0.0,1.0,9.0,,芝,晴,左,137,NaN,37.4,2000,牡,16,101.2,520,0.0,0.07,0.07,0.07,0.0,13
4,5,8.0,2.0,-0.0769230769230769,6.0,4.0,8.0,芝,晴,左,137,2.2,34.9,2000,牡,9,42.4,456,167.866666666667,0.07,0.07,0.07,0.0,6
4,6,5.0,2.0,-0.024390243902439,4.0,6.0,12.0,芝,晴,左,137,-2.6875,34.7,2000,牝,15,87.7,470,0.0,0.07,0.07,0.07,0.0,11
4,7,5.0,0.0,0.111111111111111,1.0,7.0,,芝,晴,左,137,2.0,34.6,2000,牡,7,18.6,524,0.0,0.07,0.07,0.07,0.0,8
4,8,4.0,-2.0,0.111111111111111,2.0,1.0,3.0,芝,晴,左,137,1.625,35.0,2000,牝,6,14.1,460,475.0,0.07,0.07,0.07,0.5,15
4,9,4.0,2.0,0.0,3.0,2.0,8.0,芝,晴,左,137,3.16666666666667,35.9,2000,牡,4,5.1,476,202.866666666667,0.07,0.07,0.07,0.0,4
4,10,4.0,8.0,0.0,4.0,11.0,9.0,芝,晴,左,137,1.75,35.2,2000,牝,12,71.9,496,190.0,0.07,0.07,0.07,0.25,14
4,11,5.0,10.0,0.25,3.0,11.0,11.0,芝,晴,左,137,-7.33333333333333,35.9,2000,牡,14,82.6,510,0.0,0.07,0.07,0.07,0.0,16
4,12,5.0,-2.0,0.25,2.0,1.0,7.0,芝,晴,左,137,6.5,34.6,2000,牡,8,19.1,458,550.65,0.07,0.07,0.07,0.5,9
4,13,5.0,6.0,-0.0476190476190476,2.0,7.0,5.0,芝,晴,左,137,3.125,35.4,2000,牡,13,73.6,478,75.0,0.07,0.07,0.07,0.0,10
4,14,5.0,4.0,0.304347826086957,3.0,3.0,7.0,芝,晴,左,137,2.75,34.4,2000,牝,10,61.5,482,128.333333333333,0.07,0.07,0.07,0.0,12
4,15,4.0,2.0,-0.166666666666667,2.0,1.0,3.0,芝,晴,左,137,6.125,34.7,2000,牡,5,11.3,506,516.95,0.07,0.07,0.07,0.5,2
4,16,6.0,10.0,0.0,4.0,6.0,6.0,芝,晴,左,137,1.75,34.7,2000,牝,11,66.5,434,153.125,0.07,0.07,0.07,0.0,7
5,1,6.0,-4.0,-0.25,3.0,4.0,8.0,ダ,曇,右,115,-1.83333333333333,37.2,1000,牡,2,5.8,484,36.6666666666667,0.07,0.07,0.07,0.0,4
5,2,4.0,-6.0,-0.0625000000000001,3.0,16.0,5.0,ダ,曇,右,115,-2.16666666666667,34.6,1000,牡,9,35.4,446,25.3333333333333,0.07,0.07,0.07,0.0,3
5,3,4.0,0.0,-0.032258064516129,6.0,3.0,6.0,ダ,曇,右,115,-4.8,35.5,1000,牝,3,6.2,462,31.6666666666667,0.07,0.07,0.07,0.0,1
